,,iou,iou,iou,iou,iou,iou,iou,iou,dice,dice,dice,dice,dice,dice,dice,dice,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,specificity,specificity,specificity,specificity,specificity,specificity,specificity,specificity
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
level_0,level_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inception,derm1,5.0,0.16938286351250106,0.006319788985686053,0.15881869849300181,0.16935518464130084,0.17041121482319208,0.17333730059998975,0.17499191900502087,5.0,0.2755166043080286,0.0085135893360036,0.2617902498553154,0.2740369858700904,0.2768278007356681,0.2817321818759542,0.283195803203115,5.0,0.23603290349622813,0.013726626196923726,0.21509681880803214,0.23557058029620892,0.23557253796593186,0.2407965478298528,0.2531280325811149,5.0,0.5110873889305648,0.017085675186047315,0.49149227958604347,0.4973885308748478,0.5123828755066108,0.5206669529099582,0.5335063057753638,5.0,0.9161213125553302,0.006745520083920356,0.9078256323457226,0.91138231571141,0.9163736007684088,0.9203943259154415,0.9246306880356685,5.0,0.7764496949567441,0.00975200764460792,0.76476659863716,0.7694331467573758,0.7779070005290734,0.7803854050903022,0.7897563237698092
inception,derm2,5.0,0.19466791062557418,0.007644414119019716,0.18345153095921587,0.19122276296114593,0.1963908318045393,0.19896928477301898,0.20330514262995078,5.0,0.30838207878993107,0.010170989698486862,0.29391280485287335,0.3029200083940569,0.31140062452209516,0.31348668544162883,0.3201902707390009,5.0,0.28483321694512986,0.018246119909134828,0.26367179341541574,0.2661308566523411,0.29642530578982096,0.29877088725767115,0.2991672416104002,5.0,0.5407151376501323,0.014136754767820515,0.5184521451402864,0.5395551108823657,0.5426147475172969,0.5456816827417534,0.5572720019689597,5.0,0.8907415537194556,0.011124665296142863,0.8764752254393029,0.8843773698295849,0.8914321487713951,0.8956260091686842,0.9057970153883114,5.0,0.7850172959450586,0.00960741923571698,0.772269456857196,0.7773081835202316,0.7905881990786825,0.7908110745800323,0.794109565689151
inception,derm3,5.0,0.23475164693811373,0.008857303624214297,0.22598037906355767,0.2282094025509115,0.23109879083929918,0.24357669505957036,0.24489296717722997,5.0,0.3629819982546757,0.012407234491776487,0.34943332682276107,0.3547258991764926,0.3585478430347158,0.37585060545550764,0.3763523167839014,5.0,0.3518960990162131,0.01640678363256534,0.33026503331659524,0.3401614770403087,0.3559129755645798,0.3630838022730872,0.3700572068864947,5.0,0.5225101772360031,0.013501753145859205,0.5016871782109144,0.5214032485719923,0.5217728739909883,0.5295471965272792,0.5381403888788414,5.0,0.861531462528576,0.009767133319946074,0.8519692512524241,0.853379018107267,0.8586787930441738,0.870393122505127,0.8732371277338883,5.0,0.7980455873428329,0.009998753882726506,0.7807755931066663,0.7981297629975659,0.8023221995181075,0.8043833281157584,0.8046170529760663
inception,derm4,5.0,0.19115476737093107,0.006095506841245885,0.18370882089848234,0.18878344239914402,0.18957241814038087,0.1936862967262786,0.20002285869036954,5.0,0.30569135199661657,0.007728177452798117,0.2957699717681515,0.3026399783200247,0.30417596260040647,0.3094782075103415,0.3163926397841587,5.0,0.29704475039397377,0.007751254888381372,0.28656839669280315,0.29223954878079145,0.29770217021512096,0.3041129024992079,0.3046007337819452,5.0,0.47660037643626163,0.00730138032250213,0.46944562637410514,0.47069017056153684,0.4751758756157996,0.4806734920254551,0.4870167176044117,5.0,0.8563725836512519,0.004949500295172387,0.8481287135494605,0.8564080286469402,0.8579294386532657,0.8580427612373475,0.8613539761692458,5.0,0.7842672084647854,0.004704447582852135,0.776796886277605,0.7830803127159127,0.7851224073268889,0.7878982576052536,0.7884381783982666
inception,derm5,5.0,0.18403814626604895,0.005855775294866664,0.17751658909350324,0.17981412892831178,0.18329651359201832,0.1875168653886648,0.19204663432774657,5.0,0.29510955037113495,0.008961382810840511,0.28414808192510654,0.2901594924948139,0.2942785713742078,0.29925455198633866,0.3077070540752079,5.0,0.26077056375391316,0.007308052720393009,0.24825760019802032,0.26046619855679815,0.2643045639040591,0.2645802451539966,0.2662442109566916,5.0,0.5092983726410552,0.022058178462593354,0.48759752959597386,0.49020525704344003,0.5113478413206054,0.5153287432577072,0.5420124919875496,5.0,0.8879014695225443,0.003665881200270874,0.8845575164719989,0.886022997540748,0.8865408133124262,0.8884069559211502,0.8939790643663985,5.0,0.7807637939156363,0.012406382457131764,0.7630944271959726,0.7740695686292398,0.7830758668090818,0.7895341486768012,0.7940449582670863
inception,derm6,5.0,0.19078680344219204,0.011931836231968944,0.17619736090947954,0.18312315765912485,0.19178237797518097,0.19545907443169183,0.2073720462354829,5.0,0.30784662570853366,0.016139029299452025,0.28744114955215944,0.29747853093122273,0.30995466776907077,0.31501377411028636,0.3293450061799293,5.0,0.2870825811315047,0.017656493295743966,0.2640713092445727,0.2731394925281159,0.2953783322255112,0.29674277264430293,0.3060809990150207,5.0,0.5070658168919524,0.014967252809401229,0.4858758850191164,0.5027465254547073,0.5037963207987506,0.5201120114144542,0.5227983417727339,5.0,0.8651613144570245,0.007168284589395003,0.8570617599892989,0.8618143205416073,0.8635709302141971,0.8671398503307922,0.8762197112092268,5.0,0.7798968240026716,0.006329152726486201,0.7692599050079075,0.7803251677430387,0.7805090531758672,0.7842023413500793,0.7851876527364643
inception,derm7,5.0,0.18243890883187144,0.004402029972830471,0.17686308313782204,0.17939323413214484,0.18365026920009545,0.18411629254753853,0.18817166514175643,5.0,0.2893092312048665,0.006026019688122481,0.2816789250600416,0.28545399911878755,0.28963450595548235,0.29267738162872936,0.2971013442612921,5.0,0.2667052866231276,0.011923769764605014,0.2476119404551182,0.2658787093678999,0.2679778812885789,0.2722882885163154,0.2797696134877258,5.0,0.5315603254671333,0.018081681238591406,0.5112313996932109,0.5252829963671996,0.5264297177768474,0.5346776520141945,0.5601798614842136,5.0,0.8990102194305919,0.013060950611589937,0.890388334208782,0.8935492007207395,0.8938414327294238,0.8951052861050944,0.9221668433889195,5.0,0.7855450946559679,0.007843500068981477,0.7748705897651149,0.7794372113587195,0.7904478524170194,0.7911451768231109,0.7918246429158744
inception,derm8,5.0,0.2404492732029106,0.0032790421789615103,0.23623739431374732,0.23845181762515874,0.24025938630993,0.2430293502498068,0.24426841751591016,5.0,0.36452755051744556,0.0044255546375988036,0.35952757980834477,0.36218896750925783,0.3625782136454822,0.3684855337926821,0.36985745783146057,5.0,0.3638063521682096,0.004469903447983891,0.35876058406506006,0.3607109417593891,0.36264780200707114,0.3680727515032285,0.36883968150629926,5.0,0.51571140737138,0.01552197957602436,0.4924587061594675,0.5071337330975929,0.5241594110777618,0.5258653280594157,0.5289398584626622,5.0,0.8580996617389655,0.005693957228988428,0.8495509509032585,0.8579254233180982,0.8580523104093749,0.8594754556732811,0.8654941683908148,5.0,0.8079565493163235,0.010947129429254758,0.7960915905805922,0.7965148712886425,0.8126048920584822,0.8148365872100111,0.8197348054438893
inceptionresnet,derm1,5.0,0.14907060940357977,0.005437855861311958,0.1445718650881114,0.14525856198052292,0.14553160436666254,0.15437208937600616,0.15561892620659581,5.0,0.24569886575315242,0.007729499304378739,0.23858487725932756,0.23994990330690508,0.24192437681557472,0.2528616733021687,0.2551734980817861,5.0,0.23321098189461353,0.012666986051246913,0.2181063213616171,0.2267663545391791,0.2303319802048747,0.23970381414480144,0.2511464392225955,5.0,0.3623101036621695,0.014963326068244244,0.34652457939248793,0.3525137551423344,0.3633371555222302,0.3634535831870735,0.3857214450667213,5.0,0.9043930602945263,0.006771076929901742,0.8924239972935399,0.90640054125659,0.906734387910797,0.9073128144131916,0.9090935605985139,5.0,0.8462015865823777,0.0014047274788973995,0.8441441366806032,0.8458993755066195,0.8461223923276885,0.8468786460691647,0.8479633823278121
inceptionresnet,derm2,5.0,0.17941638969843823,0.007431679251362483,0.16723480519545425,0.1791628008813133,0.18005500228049,0.18420182033912844,0.18642751979580519,5.0,0.2842600649024063,0.009309812535033962,0.26943964249569624,0.28369612975959035,0.2840311564495146,0.29051943291655696,0.29361396289067343,5.0,0.2882456877641443,0.009733234090019667,0.2733250608681893,0.28551654171387403,0.2895195439086042,0.29386829986807766,0.29899899246197587,5.0,0.3917337209397791,0.023617392301220983,0.3686512174006217,0.3696350265089328,0.38909270026160786,0.4101898635904344,0.4210997969372986,5.0,0.8756463367433002,0.016885830462588954,0.8557553164412846,0.869670789135685,0.8706658535513546,0.880857376550592,0.9012823480375847,5.0,0.8442929213479038,0.0053996036646512535,0.8377480895514087,0.8423903252756765,0.8434159326461574,0.845354664211142,0.8525555950551347
