,,iou,iou,iou,iou,iou,iou,iou,iou,dice,dice,dice,dice,dice,dice,dice,dice,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,specificity,specificity,specificity,specificity,specificity,specificity,specificity,specificity
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
level_0,level_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficientnet,Patch,5.0,0.14127647065187982,0.005045369617150225,0.13439949377227553,0.13942215356538845,0.14021710987690286,0.14516159753395325,0.147181998510879,5.0,0.22938153861950897,0.0076908021666640585,0.218324101572985,0.22742537244566385,0.22771904528606907,0.23657387722372378,0.23686529656910296,5.0,0.21968537112169728,0.013311876371293262,0.20136814507881828,0.21233910388534127,0.22050409659851067,0.22986786184465227,0.23434764820116394,5.0,0.36696185800832815,0.018000031156646452,0.3441743780807806,0.3594176170990726,0.36513616059264165,0.37305465884265276,0.3930264754264932,5.0,0.8880718950144854,0.00930670399536931,0.8739503400189319,0.8840944488621267,0.8917670519967674,0.8926440818307044,0.8979035523638962,5.0,0.7768545713298716,0.010070784579834631,0.7640831989543513,0.7730256470147985,0.7766136957948298,0.7787160556574274,0.7918342592279508
efficientnet,Plaque,5.0,0.20283975841805885,0.004232883442731844,0.19816820667634222,0.20125524452795557,0.20164465702969944,0.2035531237499793,0.20957756010631765,5.0,0.31907710951469637,0.004705940329098989,0.3135825908183799,0.3164305094201944,0.3183980749457291,0.32103457236758276,0.32593980002159595,5.0,0.32492129851484475,0.0035729174242025894,0.3210685065071904,0.32130102013083234,0.3263550717781024,0.32675345535788874,0.32912843880021003,5.0,0.4406267251387577,0.014010257301030818,0.4268616713843965,0.4314897572002278,0.43819557572422013,0.44366540635302093,0.462921215031923,5.0,0.828419527500332,0.008819404459541852,0.8232250186055761,0.8233374996969399,0.8246089340106774,0.8269609337617857,0.8439652514266814,5.0,0.7686367158574583,0.008428827485367102,0.7570765300337708,0.7676958232966191,0.7687276200450995,0.7688150757904637,0.7808685301213384
efficientnet,Pustule,5.0,0.02259049084085837,0.0017435095346778728,0.02043078568153008,0.021878569965973697,0.02259436529489793,0.022825173212739087,0.02522356004915107,5.0,0.03796021627212813,0.003082043881732396,0.034066497370740585,0.03670656111866122,0.037784824685691006,0.038741891591032,0.04250130659451583,5.0,0.024904337446750486,0.0019863376697313194,0.022390519196474484,0.024396658746536647,0.02448564760218149,0.02537695625209189,0.027871905436467913,5.0,0.5711175494396106,0.02502497328374561,0.541163815112204,0.553614308994176,0.5721838125814541,0.5837246677894508,0.6049011427207677,5.0,0.9949745511511819,0.0006171757928556538,0.9943126142364748,0.9945830934462031,0.9947603555990636,0.9954046895812472,0.9958120028929214,5.0,0.7205353870474995,0.011702880036975118,0.7065957451250787,0.7164821720409729,0.7171678484421634,0.7242293887511196,0.7382017808781629
efficientnet,Scale,5.0,0.18943680057216997,0.0036638850338288403,0.18401756392755356,0.18909327580888285,0.18938238271851288,0.1904365514842848,0.19425422892161576,5.0,0.29800899864897495,0.003937646523082946,0.2917234454159424,0.2984261654565398,0.298447790580563,0.2987995757384019,0.3026480160534277,5.0,0.2774601205688969,0.00754906003454701,0.2685701105081339,0.2721461693234728,0.27683923115137415,0.2825911790441427,0.2871539128173611,5.0,0.4988200993574508,0.018932631120652438,0.4809234085756322,0.4925332015105877,0.4933765187295408,0.49623477151982004,0.5310325964516731,5.0,0.8754594555015108,0.009381168128880183,0.869938999603915,0.8700697417395713,0.8711474305994241,0.8741809619114165,0.8919601436532274,5.0,0.7663480278376715,0.008656199425016843,0.7551547510016497,0.7639149842459937,0.7654772020588858,0.7679989208458784,0.7791942810359499
efficientnet,Scar,5.0,0.20330123507021763,0.007962039260784242,0.19480982465301733,0.19922504980357172,0.20117352876827133,0.20553254678460842,0.2157652253416195,5.0,0.3144575110864257,0.011234176287693833,0.3017047949310093,0.3096360890951102,0.31139552244230134,0.317824015334005,0.3317271336297025,5.0,0.31574910403375206,0.01426937103619998,0.29428442187129344,0.31120346441501534,0.3193313929985331,0.3211012411800714,0.3328249997038471,5.0,0.5079763282391375,0.012563669586169128,0.4964556730587667,0.49805262265179107,0.5025252723984547,0.5193285630330723,0.5235195100536028,5.0,0.8583273309353942,0.006496737725111387,0.8510748769519679,0.8556375179335955,0.8580694252094957,0.8580931439347547,0.8687616906471571,5.0,0.7716530649184754,0.016926766979393406,0.7461593251583019,0.770650203501548,0.7716716994933348,0.7763895909696116,0.7933945054695807
efficientnet,Sun damage,5.0,0.2608006750046198,0.01748048610353069,0.23333047014403993,0.2577621388856415,0.2643911918407356,0.2678085269604556,0.2807110471922263,5.0,0.40286078718708856,0.022363446894053503,0.3673402141083465,0.39781431703068687,0.41040990998589105,0.4119119908709787,0.4268275039395399,5.0,0.7285511714101848,0.025134088763604796,0.702733562861091,0.7042007270904177,0.7284997532506106,0.7518725636788663,0.755449250169938,5.0,0.300259420574022,0.019048987275755866,0.2699514089878624,0.29973683072268636,0.30227437113022165,0.3071380991550364,0.322196392874303,5.0,0.4542729274300756,0.007831236474095265,0.4403533522229785,0.45645291014905165,0.45743318452521353,0.4584719379378836,0.45865325231525045,5.0,0.8654525944709865,0.0102884881868633,0.8516004137855446,0.8576273222700916,0.8706015564480917,0.8718212072324466,0.8756124726187582
efficientnet,Telangiectasia,5.0,0.1106746697442578,0.0027971155577817034,0.10729739859530031,0.10867641783867284,0.11054745296088406,0.1128176838007814,0.11403439552565031,5.0,0.18785159728889783,0.005117074978200192,0.18128054432020235,0.18569691035711938,0.18657418941024825,0.19123249866299205,0.19447384369392712,5.0,0.1468761118630416,0.00970667844267299,0.13481511649466243,0.14435619818742562,0.14485520057344128,0.14872851252320657,0.16162553153647202,5.0,0.338710588472162,0.07537470808446323,0.24469680360617768,0.2955319440311243,0.3243780051508643,0.4014911510949698,0.42745503847767397,5.0,0.9210380943216393,0.01603556002350452,0.902523768091888,0.9145539893842187,0.9162648957476508,0.926495906881565,0.9453519115028742,5.0,0.7762576288505071,0.04249639199201534,0.7494179771950922,0.7524059173017895,0.7545438719654797,0.7747655981760996,0.8501547796140745
efficientnet,Thrombosed capillaries,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
inception,Closed comedo,5.0,0.13067507038233367,0.00654788345002295,0.12354295285144122,0.12446744072630897,0.13126703636481069,0.13655199129887308,0.1375459306702342,5.0,0.19848294393634094,0.007545744298652352,0.19034988429897634,0.1904579461591838,0.2014688135000314,0.20419236909474528,0.2059457066287678,5.0,0.18372642591018146,0.008971379802333807,0.1726962044246516,0.17659091694609572,0.18467696142843573,0.19196229632502163,0.19270575042670257,5.0,0.5019149198708867,0.02475909130559676,0.4822596138866252,0.4843552123022239,0.4855563589585821,0.5234715268833124,0.53393188732369,5.0,0.9516984883677436,0.005385652517626014,0.9460652270993394,0.9481847313582931,0.9514840227687226,0.9526324846755568,0.9601259759368064,5.0,0.7810712348630869,0.007995514743774138,0.769262038541032,0.7768273803067299,0.7836436867049267,0.7871931408447418,0.788429927918004
inception,Cyst,5.0,0.01751564058235829,0.0009289282471129011,0.016236911611738347,0.016862695556423654,0.017967154132323318,0.018042596656017977,0.018468844955288152,5.0,0.03399392359255991,0.0017171059228213606,0.03162109532637747,0.03278352506952992,0.03490123993049834,0.03494784683600238,0.03571591080039144,5.0,0.018124847996828106,0.0010373837779406427,0.016724467170702847,0.017311066928280532,0.018760318753774805,0.018788897140901772,0.01903948999048056,5.0,0.45015728216254497,0.013797070476404242,0.4336872812431458,0.43839007448285194,0.4549780815484583,0.45665471469953284,0.467076258838736,5.0,0.9909047869454953,0.00033983266521658113,0.9904826235936853,0.9907299426637085,0.9908692127407682,0.9910601320231809,0.9913820237061338,5.0,0.7399122566895253,0.012942679107504523,0.722390917164713,0.7349153963465778,0.7368189581485738,0.7521969988615385,0.7532390129262235
